Domain, istatcom, iref, igvsc, Iload
4.999,0.0,0.305620706499,0.287621011126,0.306065074339
5.0,0.0,0.307049526603,0.245946951727,0.35706315534
5.001,0.0,0.301608636826,0.292834374798,0.327049331933
5.002,0.0,0.297404458597,0.358216009573,0.260587847594
5.003,0.0,0.300507683351,0.344496379709,0.256505779524
5.004,0.0,0.306424324546,0.271855281031,0.32074558822
5.005,0.0,0.306155396149,0.247993661363,0.357757478168
5.006,0.0,0.300174653054,0.308159936837,0.312424197779
5.007,0.0,0.297313551183,0.362594425317,0.2521460862
5.008,0.0,0.301732383295,0.330099584011,0.26654569439
5.009,0.0,0.306956082523,0.258849703669,0.334102028165
5.01,0.0,0.305019585772,0.254552674435,0.354351206579
5.011,0.0,0.29893973295,0.323443800603,0.297106786749
5.012,0.0,0.297622866679,0.362827443133,0.247526566188
5.013,0.0,0.303032924688,0.313991968117,0.279300705593
5.014,0.0,0.307154252822,0.249449706987,0.345100782067
5.015,0.0,0.303711285271,0.265001969574,0.347076060318
5.016,0.0,0.297973561087,0.33741151865,0.282230677841
5.017,0.0,0.298296185141,0.358787553153,0.247052618407
5.018,0.0,0.304292878627,0.297281021833,0.293788226848
5.019,0.0,0.306990431661,0.2442617429,0.352894819525
5.02,0.0,0.30231587533,0.278457340733,0.336464541182
5.021,0.0,0.297331720193,0.348921983607,0.268900458331
5.022,0.0,0.299274818857,0.350701089117,0.25073870923
5.023,0.0,0.305401793699,0.281146034261,0.308901883744
5.024,0.0,0.306469879781,0.243599637916,0.35688558452
5.025,0.0,0.300926738698,0.293832540945,0.323306676061
5.026,0.0,0.297051084245,0.357046211735,0.258106030641
5.027,0.0,0.300479496474,0.339121945786,0.258289443698
5.028,0.0,0.306263782002,0.266741948689,0.323493970283
5.029,0.0,0.305628962618,0.247454939934,0.356766367745
5.03,0.0,0.299637526726,0.309916168674,0.30858786418
5.031,0.0,0.297146422212,0.361131063435,0.250646725776
5.032,0.0,0.30181439981,0.324882573967,0.269122150039
5.033,0.0,0.306805310104,0.255107208802,0.336460821361
5.034,0.0,0.304530168466,0.25549305763,0.35254393551
5.035,0.0,0.29853525756,0.325459144659,0.293412514767
5.036,0.0,0.29760827375,0.360842990342,0.247070709412
5.037,0.0,0.303173297479,0.309025852572,0.282411017701
5.038,0.0,0.306981082719,0.247081952838,0.346824826514
5.039,0.0,0.303255460659,0.267075164496,0.344536750469
5.04,0.0,0.297694425707,0.339265844728,0.278919243146
5.041,0.0,0.29840225188,0.356188456193,0.247633985455
5.042,0.0,0.304447408586,0.29272276984,0.297149278184
5.043,0.0,0.306777209426,0.243242216309,0.35380705067
5.044,0.0,0.30189879658,0.28130398076,0.333349850763
5.045,0.0,0.297172172959,0.350281716927,0.26619403781
5.046,0.0,0.299470003429,0.347509491623,0.252281808631
5.047,0.0,0.30553427312,0.277181830623,0.312224694108
5.048,0.0,0.306211313387,0.243854731792,0.356885075366
5.049,0.0,0.300558554718,0.297089784252,0.31982822602
5.05,0.0,0.297004522164,0.357670539549,0.256187953538
5.051,0.0,0.300732065409,0.335454752076,0.260653634229
5.052,0.0,0.306346608909,0.263556677402,0.326502729623
5.053,0.0,0.305329744997,0.248855504865,0.355831710506
5.054,0.0,0.299330420128,0.313231480225,0.304992192144
5.055,0.0,0.297203701313,0.36087534228,0.24964551053
5.056,0.0,0.302092752365,0.320928295032,0.272110994676
5.057,0.0,0.306820009629,0.25285853771,0.338911263894
5.058,0.0,0.304202470749,0.257853670449,0.35073160359
5.059,0.0,0.298301063945,0.328506416164,0.289959675109
5.06,0.0,0.297756662415,0.359658339766,0.247049120444
5.061,0.0,0.303446979324,0.305019935543,0.285786031849
5.062,0.0,0.306918452543,0.245879785485,0.348520608438
5.063,0.0,0.302916434576,0.27016029902,0.341974407342
5.064,0.0,0.297542773219,0.341761967864,0.275861339955
5.065,0.0,0.298624991284,0.354116899733,0.24858359509
5.066,0.0,0.30468859448,0.288922363365,0.300646947778
5.067,0.0,0.306636927829,0.243134145875,0.35461291026
5.068,0.0,0.301568220281,0.284839961399,0.330224941395
5.069,0.0,0.29710907753,0.352001812003,0.263755053025
5.07,0.0,0.299746464644,0.344674442762,0.254123234323
5.071,0.0,0.305719441693,0.273841130489,0.31557545791
5.072,0.0,0.306000982392,0.244817919675,0.356735759164
