Domain, pload, pgrid
4.999,0.29495591816,0.306523792385
5.0,0.302641690619,0.356610948015
5.001,0.306525225846,0.325599184712
5.002,0.300848699592,0.259769893816
5.003,0.294103526577,0.256719767814
5.004,0.296212310967,0.321294283205
5.005,0.304165070691,0.357154310808
5.006,0.30600625455,0.311116000778
5.007,0.299082643367,0.25165127265
5.008,0.293669508964,0.267020060472
5.009,0.297767055521,0.334626768546
5.01,0.305378427499,0.353575840533
5.011,0.305050565107,0.295971109935
5.012,0.297397980759,0.247322804868
5.013,0.293715513222,0.27997640884
5.014,0.299501357616,0.345498530104
5.015,0.30618839073,0.346147490694
5.016,0.303731753164,0.281296144522
5.017,0.295916588627,0.247113245106
5.018,0.294240152474,0.294597386926
5.019,0.301281370649,0.353083389497
5.02,0.306534404265,0.335432342532
5.021,0.302149490671,0.268187416389
5.022,0.294746036731,0.251039836294
5.023,0.295206315933,0.309765342169
5.024,0.302969066284,0.356812799352
5.025,0.306392925438,0.322238294219
5.026,0.300421535171,0.257624802824
5.027,0.293972184158,0.258805787336
5.028,0.296542908232,0.324323800394
5.029,0.304433709113,0.35641577863
5.03,0.305778315606,0.307555424095
5.031,0.298674970629,0.25039907377
5.032,0.293653004926,0.269821757207
5.033,0.298149435501,0.337167417634
5.034,0.305562736381,0.351935400758
5.035,0.304740609378,0.292481674577
5.036,0.297037269649,0.24705251009
5.037,0.293813983047,0.283250228123
5.038,0.299903330068,0.34732710059
5.039,0.306270906741,0.343721488844
5.04,0.303360645104,0.278141908394
5.041,0.295627643439,0.24783715514
5.042,0.294445467793,0.298069672473
5.043,0.301669540522,0.354043418634
5.044,0.306506828149,0.33240095958
5.045,0.30174321166,0.265605591188
5.046,0.294549043337,0.252694170631
5.047,0.295502393078,0.313153560659
5.048,0.303311552354,0.356822617028
5.049,0.306256343829,0.318828727389
5.05,0.300008916156,0.255808405
5.051,0.293881124123,0.261256473291
5.052,0.296906688376,0.327357790031
5.053,0.304702740558,0.355471240076
5.054,0.305542663497,0.30402316288
5.055,0.298285429449,0.249482994485
5.056,0.293674482517,0.272875137845
5.057,0.298552510535,0.339609264372
5.058,0.305736862769,0.350107341874
5.059,0.304423493983,0.289090810347
5.06,0.296698661994,0.24710373487
5.061,0.293946528038,0.286668090562
5.062,0.300314114153,0.348988252987
5.063,0.306336607037,0.341148242581
5.064,0.302985691759,0.275145478623
5.065,0.295364306306,0.248849796304
5.066,0.294679388742,0.30158759918
5.067,0.30205580617,0.354797824524
5.068,0.306459385824,0.329276558672
5.069,0.301338104217,0.263227010313
5.07,0.29438009275,0.254589779052
5.071,0.295820249064,0.316501251282
5.072,0.303643084523,0.356614979705
5.073,0.306099949877,0.315387653417
5.074,0.299603293065,0.254225056998
5.075,0.293819066605,0.263889775104
5.076,0.297284412451,0.33027976228
5.077,0.304953832218,0.354319898884
5.078,0.305289797772,0.300522669986
5.079,0.297908771118,0.248813036806
5.08,0.293724209155,0.276044927285
5.081,0.298961154658,0.341884267295
5.082,0.305888390703,0.34810172039
5.083,0.304093702982,0.285791957317
5.084,0.296378275226,0.24739706538
5.085,0.294104772625,0.29013255501
5.086,0.300722102981,0.350445831565
5.087,0.30637748443,0.338441218786
5.088,0.302603920107,0.272294057919
5.089,0.29512348686,0.250083943088
5.09,0.294934735637,0.305082922437
5.091,0.302431504733,0.355330745654
5.092,0.306387274647,0.326072453043
5.093,0.300932747613,0.261035577086
5.094,0.294236533728,0.256671177525
5.095,0.296153759966,0.319762002187
5.096,0.303957424508,0.356186624764
5.097,0.30592121173,0.311926782221
5.098,0.299204128164,0.252857235695
5.099,0.293783580113,0.266660507226
5.1,0.297626274151,0.333059382041
5.101,0.268504514863,0.347061337437
5.102,0.209307901127,0.23944951693
5.103,0.147389956255,0.0913226260082
5.104,0.100014607058,0.0498354816836
5.105,0.0702179284743,0.114549321405
5.106,0.0506214903544,0.135702447085
5.107,0.0352366717266,0.0479401176093
5.108,0.0234325032033,-0.0351869980597
5.109,0.015700767641,-0.00467643735092
5.11,0.0110033798683,0.073760469117
5.111,0.0077762255853,0.0661947804047
5.112,0.00528829379856,-0.0188911943995
5.113,0.00351011465378,-0.0530952384
5.114,0.00238978419092,0.00900557472451
5.115,0.00168305381626,0.0628331000011
5.116,0.00117239399952,0.0233190733774
5.117,0.000788636503891,-0.0457023660143
5.118,0.000527942038956,-0.0388241179
5.119,0.000364790291902,0.0275799707443
5.12,0.000256460028165,0.046641326655
5.121,0.000176267462601,-0.00868759815129
5.122,0.000118160701186,-0.0500626098083
5.123,8.00510526792e-005,-0.015693415987
5.124,5.58110402444e-005,0.036570958122
5.125,3.89571629034e-005,0.025105883817
5.126,2.64965628529e-005,-0.0286476762799
5.127,1.7807680885e-005,-0.0402360376827
5.128,1.22061294157e-005,0.00531722124794
5.129,8.53184334035e-006,0.0344579888549
5.13,5.89901261658e-006,0.00367179394725
5.131,3.98829337987e-006,-0.036149318623
5.132,2.69834376544e-006,-0.0236323420094
5.133,1.86591818538e-006,0.0188342367196
5.134,1.30071470807e-006,0.0243433741985
5.135,8.91260251753e-007,-0.0129639783518
5.136,6.01887073001e-007,-0.0333066842664
5.137,4.10595746623e-007,-0.00654166630519
5.138,2.85226314713e-007,0.0234868901229
5.139,1.97659270501e-007,0.0107583810005
5.14,1.3455916223e-007,-0.022344529382
5.141,9.11282738915e-008,-0.023855068264
5.142,6.2634185495e-008,0.0067139332813
5.143,4.35233979322e-008,0.0206502435728
5.144,2.9956129936e-008,-0.00211369155464
5.145,2.03303105042e-008,-0.0243118910419
5.146,1.38399997022e-008,-0.0119138033198
5.147,9.56115610148e-009,0.0140849028829
5.148,6.62473401789e-009,0.0131561893919
5.149,4.53291891452e-009,-0.0113946842312
5.15,3.07708787977e-009,-0.0204397732919
5.151,2.10673982343e-009,-0.000970199476142
5.152,1.45842130354e-009,0.0155425952743
5.153,1.00593366188e-009,0.00414973313209
5.154,6.85708592768e-010,-0.0158346806995
5.155,4.66729456328e-010,-0.0132116920164
5.156,3.21054410002e-010,0.00672478765399
5.157,2.22103782538e-010,0.0124697156342
5.158,1.52480760991e-010,-0.00375006880168
5.159,1.03804854537e-010,-0.0156597975212
5.16,7.09283147694e-011,-0.0052066325615
5.161,4.89272278469e-011,0.0103185375503
5.162,3.3761945192e-011,0.00692273366228
5.163,2.30941590925e-011,-0.00891536634508
5.164,1.57351593318e-011,-0.0121209546063
5.165,1.07925358268e-011,0.00152260072188
5.166,7.45015618398e-012,0.0101571690013
5.167,5.12406426004e-012,0.000960081000038
5.168,3.49791638782e-012,-0.0108157390378
5.169,2.38864234216e-012,-0.00692589312399
5.17,1.64297887264e-012,0.0057834852037
5.171,1.13303248635e-012,0.00736813033733
5.172,7.768991767e-013,-0.00383792919767
5.173,5.30164361555e-013,-0.00984312306732
5.174,3.6302728055e-013,-0.00171511308407
5.175,2.50056455181e-013,0.00728730217677
5.176,1.72098039561e-013,0.00337998322891
5.177,1.17750160655e-013,-0.00660611861839
5.178,8.043300439e-014,-0.00696994249483
5.179,5.52103502213e-014,0.00230710399948
5.18,3.80310561695e-014,0.00646954599752
5.181,2.61149428621e-014,-0.000494176606172
5.182,1.78504100948e-014,-0.00720192899716
5.183,1.22143512123e-014,-0.00336248138898
5.184,8.39773271222e-015,0.00453987516591
5.185,5.77902943697e-015,0.00418990999461
5.186,3.96067993055e-015,-0.00333241606953
5.187,2.70757062654e-015,-0.0060428542324
5.188,1.85612951693e-015,-5.15332319889e-005
5.189,1.27695563871e-015,0.00496499542902
5.19,8.77445223812e-016,0.00141484380486
5.191,6.00632871522e-016,-0.00471398298767
5.192,4.10969096471e-016,-0.00385599401051
5.193,2.82157042702e-016,0.00227670959093
5.194,1.94067413584e-016,0.00399385312303
5.195,1.3314939997e-016,-0.00103864234972
5.196,9.11077863561e-017,-0.00468260177626
5.197,6.24167567751e-017,-0.00142133324276
5.198,4.28909817852e-017,0.00335155885995
5.199,2.94759325081e-017,0.00225418467989
5.2,2.01997830675e-017,-0.00265491552604
5.201,1.38258098789e-017,-0.0036103912393
5.202,9.48341663227e-018,0.00062886554622
5.203,6.51811726113e-018,0.00327063015636
5.204,4.47469482514e-018,0.000383376410588
5.205,3.06454570633e-018,-0.00325997261999
5.206,2.0990726709e-018,-0.00202050647413
5.207,1.44108755678e-018,0.00192161631472
5.208,9.90159409328e-019,0.00237769065725
5.209,6.79082512947e-019,-0.0011247804745
5.21,4.65033263271e-019,-0.00297032870311
5.211,3.18805616953e-019,-0.000421350027546
5.212,2.18968352715e-019,0.00236282324659
5.213,1.5035415823e-019,0.00111492809626
5.214,1.03047344025e-019,-0.00199821610225
5.215,7.05893770816e-020,-0.00208679042651
5.216,4.84302401477e-020,0.000811241937471
5.217,3.32640033274e-020,0.00208498619906
5.218,2.28241130698e-020,-0.000108371085182
5.219,1.56380776037e-020,-0.00219129040678
5.22,1.07183212903e-020,-0.000972861739263
5.221,7.35742056459e-021,0.00148847164233
5.222,5.05180094217e-021,0.00135490603963
5.223,3.46418509747e-021,-0.00100404620104
5.224,2.37361541462e-021,-0.00183453447368
5.225,1.62783332844e-021,4.92054266737e-005
5.226,1.1176188139e-021,0.00160365388099
5.227,7.6702162779e-022,0.000474207240248
5.228,5.25772357131e-022,-0.00144086914261
5.229,3.60357181349e-022,-0.0011559572715
5.23,2.47251334252e-022,0.000764593463546
5.231,1.6974108134e-022,0.00128506026089
5.232,1.16437434532e-022,-0.000301705690235
5.233,7.98050583268e-023,-0.00143346742218
5.234,5.47191911106e-023,-0.000400206512988
5.235,3.75547391381e-023,0.00108860515735
5.236,2.57749568846e-023,0.000729194983387
5.237,1.76743709014e-023,-0.000811947248071
5.238,1.21150207565e-023,-0.00109950439537
5.239,8.30998869024e-024,0.000234551928963
5.24,5.70365531474e-024,0.00105210372652
5.241,3.9132765302e-024,0.000135706839957
5.242,2.68287582426e-024,-0.00100300481951
5.243,1.83942624174e-024,-0.00060377361542
5.244,1.262061812e-024,0.00063167968933
5.245,8.66138443729e-025,0.000763216494264
5.246,5.94074550376e-025,-0.000340983394901
5.247,4.07276577204e-025,-0.000912572523402
5.248,2.79313441777e-025,-0.0001060369326
5.249,1.91668097786e-025,0.000762176299944
5.25,1.31512581788e-025,0.000360852358091
5.251,9.0183732085e-026,-0.000616303129482
5.252,6.18332915044e-026,-0.000635970379691
5.253,4.2416062935e-026,0.000275928442233
5.254,2.91063818886e-026,0.000668167153854
5.255,1.99666989988e-026,-2.66597595265e-005
5.256,1.36907268977e-026,-0.000676895512011
5.257,9.38852314316e-027,-0.000287813272741
5.258,6.44131533113e-027,0.000483307519556
5.259,4.41965628761e-027,0.000433806195474
5.26,3.03126145386e-027,-0.000309314833094
5.261,2.07850358834e-027,-0.000564632190363
5.262,1.42561564274e-027,3.06428108369e-005
5.263,9.78150873892e-028,0.000514547537192
5.264,6.71049086131e-028,0.000153937456394
5.265,4.60190669432e-028,-0.000446592186318
5.266,3.15577187622e-028,-0.000351729034759
5.267,2.16482068091e-028,0.000252188889418
5.268,1.48529794631e-028,0.000410406618892
5.269,1.01881750381e-028,-9.13927044699e-005
5.27,6.98657056235e-029,-0.000443813606561
5.271,4.79167017866e-029,-0.000115289370751
5.272,3.28730890601e-029,0.00035064434928
5.273,2.25525430915e-029,0.000232891144704
5.274,1.54677909386e-029,-0.000252055424168
5.275,1.06074220519e-029,-0.00033853258401
5.276,7.27587669898e-030,8.2486331661e-005
5.277,4.99168572881e-030,0.000336141122565
5.278,3.4241763575e-030,4.47617228857e-005
5.279,2.34834664988e-030,-0.000311761236408
5.28,1.61055706034e-030,-0.000182875123205
5.281,1.10481562904e-030,0.000205209581907
5.282,7.57943487863e-031,0.000242982037075
5.283,5.19880694322e-031,-0.000105645811942
5.284,3.56538590136e-031,-0.000282848584268
5.285,2.44544872979e-031,-2.71373105789e-005
5.286,1.67760910705e-031,0.000244104767682
5.287,1.15082553198e-031,0.000114973516629
5.288,7.89309557004e-032,-0.00019208327664
5.289,5.41333519233e-032,-0.000195631078134
5.29,3.71321530574e-032,9.17748406745e-005
5.291,2.54731127648e-032,0.000212716735429
5.292,1.7473076368e-032,-7.58100920829e-006
5.293,1.19838046033e-032,-0.000210721478691
5.294,8.21933313045e-033,-8.6307471161e-005
5.295,5.63823851332e-033,0.000155596793329
5.296,3.86777575054e-033,0.000137696718381
5.297,2.65291017623e-033,-9.6562938312e-005
5.298,1.81949304012e-033,-0.000175036140014
5.299,1.24800916038e-033,1.32897405224e-005
5.3,4.46227999793e-005,0.00016408504797
5.301,0.0380573132194,0.00585733356951
5.302,0.0983428640847,0.0573945967238
5.303,0.153358590486,0.157967900937
5.304,0.198941650945,0.232036791187
5.305,0.231083752515,0.231509556536
5.306,0.248665419254,0.205183394279
5.307,0.259471001612,0.225654620667
5.308,0.272187326047,0.286025892085
5.309,0.285499385582,0.31427729587
5.31,0.291341300601,0.282529712722
5.311,0.289054611363,0.247739489458
5.312,0.28770125977,0.268520187455
5.313,0.293631818776,0.320298571712
5.314,0.301364148292,0.331449246623
5.315,0.301542292927,0.289253843311
5.316,0.295432505745,0.258273188129
5.317,0.293095461067,0.28678398358
5.318,0.299041927162,0.335649737996
5.319,0.305375081861,0.33465290232
5.32,0.303207072696,0.286186003745
5.321,0.296150801734,0.262056978999
5.322,0.294794313566,0.299519272901
5.323,0.301586559793,0.345181752444
5.324,0.306815214779,0.332309057828
5.325,0.302888870748,0.279674651151
5.326,0.29574408163,0.264701089372
5.327,0.295886425201,0.31092435318
5.328,0.303387488877,0.351253397775
5.329,0.307244528233,0.326077633792
5.33,0.301809315984,0.271838068898
5.331,0.295129708727,0.26833702447
5.332,0.296975939951,0.322039326224
5.333,0.304822467945,0.354100183622
5.334,0.307011400002,0.316698130274
5.335,0.300353662469,0.264195307051
5.336,0.29462710178,0.274067543138
5.337,0.298215336422,0.332801082395
5.338,0.305947235621,0.353515607528
5.339,0.306255905225,0.304995892351
5.34,0.298751726801,0.258102760723
5.341,0.294409168384,0.282322499601
5.342,0.299622010748,0.342594325429
5.343,0.306736322416,0.349340241835
5.344,0.30507919822,0.292018006644
5.345,0.297184651611,0.254682248674
5.346,0.294573167075,0.292946917518
5.347,0.301142553584,0.350559084878
5.348,0.307143683119,0.341664301162
5.349,0.303580856598,0.27896628324
5.35,0.295803142721,0.254703747944
5.351,0.295156148137,0.305305997504
5.352,0.302680485539,0.355830605245
5.353,0.307130469497,0.330900675868
5.354,0.30186949136,0.267073224028
5.355,0.294729724375,0.258513042458
5.356,0.296142678989,0.318429962367
