Domain, vgvsc, vcpl
4.999,1.00149875985,0.965104496808
5.0,0.998733536859,0.985644543951
5.001,0.995565967947,1.01630122092
5.002,0.996861120788,1.01158099987
5.003,1.00083424354,0.978688875097
5.004,1.00171068599,0.966673619682
5.005,0.998314032837,0.99349896986
5.006,0.995812753907,1.01942736149
5.007,0.998037591789,1.00595025749
5.008,1.00177968015,0.973278061031
5.009,1.00157059921,0.970064033503
5.01,0.997811871295,1.00117645471
5.011,0.996177546711,1.02044168601
5.012,0.999176810301,0.999244393005
5.013,1.00241926795,0.969252808168
5.014,1.00115255617,0.975084521422
5.015,0.997324593282,1.00815611925
5.016,0.996688760677,1.0193245067
5.017,1.00024539995,0.992022705509
5.018,1.00275422908,0.966963649629
5.019,1.00053435177,0.981403130448
5.02,0.996932221606,1.0139540437
5.021,0.997348305218,1.01620335185
5.022,1.00120095962,0.984867480186
5.023,1.0027952514,0.966616182433
5.024,0.999796054615,0.988576973698
5.025,0.996695453819,1.01816450995
5.026,0.99813554214,1.01134636803
5.027,1.0019990892,0.978343572884
5.028,1.00256521044,0.96825979975
5.029,0.999017314558,0.996089200794
5.03,0.996654307557,1.02049405809
5.031,0.999011947971,1.00514409161
5.032,1.00259958969,0.97295889497
5.033,1.00210008485,0.971787076958
5.034,0.998273875421,1.0033906917
5.035,0.996827537535,1.02078599315
5.036,0.999926339621,0.998081356767
5.037,1.00297159236,0.969128829915
5.038,1.00144820681,0.976944010399
5.039,0.997633745533,1.00994358379
5.04,0.997213047247,1.01903367651
5.041,1.00082044347,0.990701784508
5.042,1.00309741385,0.967147229664
5.043,1.00066807025,0.983350559471
5.044,0.997153467504,1.01526349764
5.045,0.997789407204,1.01538178577
5.046,1.00163452927,0.983567769608
5.047,1.00297499387,0.967166105655
5.048,0.999824990335,0.990530196285
5.049,0.996874889238,1.01895733468
5.05,0.998518476246,1.01011565066
5.051,1.00231279746,0.97721911936
5.052,1.00261884612,0.96918549036
5.053,0.998986963726,0.99794646788
5.054,0.996822773534,1.02075379898
5.055,0.99934901275,1.00363968595
5.056,1.00280820395,0.972133492837
5.057,1.00205953756,0.973054237551
5.058,0.998220115582,1.00504398277
5.059,0.997003497947,1.02052433189
5.06,1.00022106707,0.99644676155
5.061,1.00308643046,0.968691560852
5.062,1.00134179884,0.978481781283
5.063,0.997584132779,1.01129081182
5.064,0.997404995812,1.01829289444
5.065,1.00107087201,0.989081004359
5.066,1.00312875753,0.96714939148
5.067,1.00052145384,0.985060111018
5.068,0.997128070582,1.0162191014
5.069,0.997997980682,1.01423391948
5.07,1.00183589954,0.982096963508
5.071,1.00293366721,0.967620009464
5.072,0.999661431589,0.992294476145
5.073,0.996886881669,1.01946077112
5.074,0.998738387787,1.00865869745
5.075,1.00245973203,0.976018265243
5.076,1.00251708708,0.970065423805
5.077,0.99882718379,0.999640653972
5.078,0.996878953649,1.02077551746
5.079,0.999570865634,1.00199136948
5.08,1.00289640524,0.971298834826
5.081,1.00191128019,0.974299701785
5.082,0.998081869701,1.00654606053
5.083,0.997104858113,1.02006894111
5.084,1.00043306582,0.994736497072
5.085,1.00311391648,0.968289495443
5.086,1.0011624795,0.980002917508
5.087,0.997481684047,1.01249161621
5.088,0.997547416782,1.01739940751
5.089,1.00126041578,0.987440791415
5.09,1.00309665111,0.967212308371
5.091,1.0003274541,0.986745045624
5.092,0.997071690291,1.01703115103
5.093,0.998173085834,1.01297316044
5.094,1.00199102152,0.980651972871
5.095,1.00284655856,0.968144441066
5.096,0.999469271027,0.994018142047
5.097,0.996882481529,1.01982527766
5.098,0.998934556104,1.00712815256
5.099,1.00257033802,0.97487787214
5.1,1.00238299959,0.97101268315
5.101,0.998741096353,1.01029055346
5.102,0.998850294143,1.05892138751
5.103,1.00877120818,1.05407311557
5.104,1.02424386545,1.01138682498
5.105,1.03574563386,1.00599856526
5.106,1.04148843604,1.05509043959
5.107,1.04852180747,1.09259743342
5.108,1.06069007567,1.07360674641
