Domain, vgvsc, vcpl
20.499,0.999876625099,0.999881484535
20.5,0.999875330609,0.999880079931
20.501,0.999779340729,0.990896050682
20.502,0.997986047817,0.964119460762
20.503,0.991332185309,0.950493328079
20.504,0.979938838792,0.961313839337
20.505,0.968070235764,0.969601195561
20.506,0.958888891571,0.953922999811
20.507,0.951156118804,0.929198728846
20.508,0.942348175901,0.921190100585
20.509,0.932920480231,0.928796436859
20.51,0.925527789965,0.929409631461
20.511,0.921021701018,0.914256347956
20.512,0.917428478406,0.899516310218
20.513,0.91306576696,0.900131914629
20.514,0.908851016338,0.908444676772
20.515,0.906587984742,0.907660210028
20.516,0.906157623062,0.896970927644
20.517,0.905788899677,0.890861460425
20.518,0.90468416598,0.896467287853
20.519,0.903960779538,0.904021356899
20.52,0.904738959739,0.9026522741
20.521,0.906439464111,0.896102725324
20.522,0.907723090829,0.895665691093
20.523,0.908430642875,0.903023160323
20.524,0.90961891347,0.908801166413
20.525,0.911847033375,0.907221510496
20.526,0.914372539166,0.904002109489
20.527,0.916317849342,0.906803263405
20.528,0.917908790268,0.91393050215
20.529,0.919991072473,0.917764155055
20.53,0.922710183413,0.916374780262
20.531,0.925350917253,0.915655398142
20.532,0.927440042236,0.919922048503
20.533,0.929380233063,0.925840115442
20.534,0.931752353564,0.928068717214
20.535,0.934441033365,0.927184181576
20.536,0.936865762396,0.928170034736
20.537,0.938859477732,0.932710649957
20.538,0.940852655302,0.937121134918
20.539,0.943175331192,0.938269041465
20.54,0.945584888174,0.9380330059
20.541,0.947676200711,0.940010158198
20.542,0.949480682099,0.944116765621
20.543,0.951366898057,0.94712689875
20.544,0.953466298972,0.947693863508
20.545,0.955508573271,0.948079504398
20.546,0.957257399894,0.950464897752
20.547,0.958847097037,0.95380539039
20.548,0.960544879773,0.955714742931
20.549,0.96234906857,0.956072815624
20.55,0.96402335129,0.956935713487
20.551,0.965466649963,0.959307803062
20.552,0.966844333153,0.961812968714
20.553,0.968318897478,0.962965586676
20.554,0.969816642829,0.963334654849
20.555,0.97116367081,0.964480047921
20.556,0.972350911892,0.966580088173
20.557,0.973529459096,0.968338323651
20.558,0.974774793355,0.969036018139
20.559,0.975988416154,0.96950606908
20.56,0.977062972352,0.970745206671
20.561,0.978040588365,0.972453736634
20.562,0.979036042775,0.973625413632
20.563,0.980063934132,0.974090294937
20.564,0.981031462976,0.97466309728
20.565,0.981887528227,0.975848016064
20.566,0.982693616349,0.977147735877
20.567,0.983523191041,0.977905113196
20.568,0.984355756523,0.978275781677
20.569,0.985119623825,0.978907226531
20.57,0.985803631882,0.979943936526
20.571,0.986467771156,0.980880256136
20.572,0.987149457984,0.981372463993
20.573,0.98781372258,0.98171880992
20.574,0.98841417316,0.982351924608
20.575,0.988963114372,0.983197596065
20.576,0.989508163668,0.983844808641
20.577,0.990060495918,0.984183153337
20.578,0.990584479114,0.984527942951
20.579,0.991056310768,0.98511346658
20.58,0.991498392975,0.985764717328
20.581,0.991942582784,0.986201625696
20.582,0.99238414438,0.986458731967
20.583,0.992794234038,0.986798310694
20.584,0.993165754903,0.987304016215
20.585,0.993522116681,0.987782417321
20.586,0.993880700308,0.988077850029
20.587,0.994229442411,0.988294411178
20.588,0.994548875886,0.98861466414
20.589,0.994842187649,0.989026580988
20.59,0.995128774687,0.989365481211
20.591,0.995415061248,0.989572037407
20.592,0.995687618168,0.989766311807
20.593,0.995935849364,0.990052844698
20.594,0.996167787565,0.990371853298
20.595,0.996396949919,0.990606562673
20.596,0.996622813828,0.990760062845
20.597,0.996833978927,0.990936971665
20.598,0.997026678733,0.991180177141
20.599,0.997209954372,0.99141683803
20.6,0.997391615474,0.991578620621
20.601,0.997567667692,0.991700767022
20.602,0.997730106445,0.991859003111
20.603,0.997879550758,0.992055429287
20.604,0.998023821987,0.992224958082
20.605,0.998166237483,0.992338311993
20.606,0.998301834962,0.992440577875
20.607,0.998426034708,0.992577284666
20.608,0.998541674097,0.992728817142
20.609,0.998654419317,0.992847198189
20.61,0.998764618877,0.992929478287
20.611,0.998867838288,0.993016920699
20.612,0.99896224475,0.993130196629
20.613,0.999051306663,0.993242297753
20.614,0.99913846709,0.993323829697
20.615,0.999222488422,0.993386233097
20.616,0.999300133526,0.993460547564
20.617,0.999371404702,0.99355034594
20.618,0.999439437033,0.993630195016
20.619,0.999505852489,0.993686328057
20.62,0.999568861265,0.993735442616
20.621,0.999626527641,0.993797046381
20.622,0.999679838475,0.993865089577
20.623,0.999731151863,0.993920083087
20.624,0.999780837691,0.993959206753
20.625,0.999827199513,0.993998580898
20.626,0.999869391378,0.994047802127
20.627,0.999908737708,0.994097028841
20.628,0.999946738417,0.994133803605
20.629,0.999983054797,0.99416160773
20.63,1.00001639782,0.994193046517
20.631,1.00004667792,0.994230634736
20.632,1.00007514716,0.994264541504
20.633,1.00010257286,0.99428849546
20.634,1.00012832978,0.994308585318
20.635,1.00015161498,0.994333067822
20.636,1.0001727659,0.994360270339
20.637,1.00019275926,0.994382353231
20.638,1.00021183894,0.994397545563
20.639,1.00022936797,0.994412088096
20.64,1.00024497002,0.994430322973
20.641,1.00025914902,0.9944487387
20.642,1.00027255278,0.994462118795
20.643,1.00028511334,0.994471407057
20.644,1.00029632523,0.994481681253
20.645,1.00030611968,0.994494378458
20.646,1.00031499534,0.994505741035
20.647,1.00032330689,0.994512976957
20.648,1.00033084542,0.994518265671
20.649,1.00033728328,0.994525066776
20.65,1.00034273342,0.99453302024
20.651,1.00034759872,0.994539001166
20.652,1.00035201643,0.994542049901
20.653,1.00035575242,0.994544559801
20.654,1.00035864369,0.994548457805
20.655,1.00036088117,0.99455252413
20.656,1.00036274246,0.994554596808
20.657,1.00036422905,0.994554870333
20.658,1.00036514565,0.994555374388
20.659,1.00036545268,0.994556854145
20.66,1.00036534798,0.99455789054
20.661,1.00036499234,0.994557262362
20.662,1.00036432025,0.994555731482
20.663,1.00036319975,0.994554734355
20.664,1.00036166732,0.994554253629
20.665,1.0003598882,0.994553054595
20.666,1.00035793332,0.994550655426
20.667,1.00035571847,0.994547964347
20.668,1.00035317427,0.994545822968
20.669,1.00035037238,0.994543822373
20.67,1.00034743058,0.994541074585
20.671,1.00034436121,0.994537582891
20.672,1.00034108965,0.994534152042
20.673,1.00033759536,0.994531146635
20.674,1.00033395615,0.994528037678
20.675,1.00033024345,0.994524298409
20.676,1.00032643847,0.994520186556
20.677,1.00032248839,0.994516293206
20.678,1.00031840402,0.994512662602
20.679,1.00031425239,0.994508810899
20.68,1.00031006791,0.994504507096
20.681,1.0003058208,0.994500091431
20.682,1.00030148155,0.994495926242
20.683,1.00029707644,0.99449188101
20.684,1.00029265462,0.994487593767
20.685,1.00028822542,0.994483035351
20.686,1.00028376032,0.994478521845
20.687,1.00027924893,0.994474224505
20.688,1.00027472123,0.994469948748
20.689,1.00027020805,0.994465469723
20.69,1.00026570456,0.99446087027
20.691,1.0002611894,0.994456391206
20.692,1.00025666492,0.994452070415
20.693,1.00025215768,0.994447719595
20.694,1.00024768337,0.99444323119
20.695,1.0002432313,0.994438730438
20.696,1.00023878865,0.99443437108
20.697,1.00023436442,0.994430114292
20.698,1.00022997852,0.994425813285
20.699,1.00022563597,0.994421443712
20.7,1.00022132557,0.994417128188
20.701,1.00030214789,1.00299685294
20.702,1.0020297723,1.02985693262
20.703,1.008583491,1.04294418541
20.704,1.01977473111,1.03076252607
20.705,1.03121598386,1.02274133227
20.706,1.03989441437,1.03938075402
20.707,1.04724884726,1.0621530578
20.708,1.05554706281,1.06657467561
20.709,1.06395561698,1.05910149534
20.71,1.07011725778,1.06189804212
20.711,1.07387996907,1.07685593016
20.712,1.07718967487,1.08614419428
20.713,1.08092224324,1.08222873088
