Domain, istatcom, igvsc, iref, Iload
20.499,0.000450333491449,-0.00048960551376,1.24824741581e-033,-0.000451967125976
20.5,0.000298037607496,-0.000474648103159,4.46281517903e-005,-0.000442007923261
20.501,0.00123004820201,-0.00636626400243,0.0384076459582,0.00571199463109
20.502,0.00846581322815,-0.0499024784113,0.102161052205,0.0554865262319
20.503,0.0148133109522,-0.114007494245,0.161740210138,0.146952336076
20.504,0.0151914092883,-0.127341820079,0.206775435917,0.2130698978
20.505,0.0135731651485,-0.0719746391658,0.23737033103,0.218812974079
20.506,0.0162721767189,-0.00916931315633,0.260543214562,0.207666356436
20.507,0.0223348986725,0.0115551582928,0.281085170176,0.230888328484
20.508,0.0257578841675,0.0156296390709,0.297225085391,0.27530084739
20.509,0.024697357244,0.0524192440097,0.306265672427,0.292720863852
20.51,0.0235994871745,0.117982785848,0.310993460363,0.275342181088
20.511,0.026058257075,0.165150366547,0.31646527296,0.263395906384
20.512,0.0297419369836,0.175522149707,0.323416244598,0.282333275863
20.513,0.0304582451585,0.182106417552,0.328181453125,0.308414191116
20.514,0.0284280678753,0.215699988226,0.328978651361,0.308886243942
20.515,0.0275189956885,0.26075290203,0.328773441865,0.290471930427
20.516,0.0292997210671,0.283005815698,0.330696767523,0.285564974472
20.517,0.0310565982965,0.28114829156,0.333748486099,0.302874477616
20.518,0.0302011241975,0.285338420526,0.334751964795,0.317604960699
20.519,0.0280129169009,0.310609662601,0.333340449003,0.310910196359
20.52,0.0274085422444,0.3371200029,0.33227015978,0.296480087693
20.521,0.0285776951789,0.342788331311,0.333161310274,0.297351494121
20.522,0.0290241368231,0.335623359759,0.334373636742,0.311734495559
20.523,0.0274734963831,0.339146466211,0.333743225059,0.318335917173
20.524,0.0255964728034,0.357040772941,0.331833454024,0.309189084862
20.525,0.0252971189062,0.370193624687,0.330821842417,0.29972460508
20.526,0.0259503929343,0.366924599962,0.331223046763,0.303994983658
20.527,0.0255916400148,0.35918491586,0.331365853411,0.314583044063
20.528,0.0239069989122,0.362886862124,0.330061002501,0.315671389966
20.529,0.022515896468,0.374664751872,0.328287403084,0.30678800358
20.53,0.0224290121362,0.378972874735,0.32752721285,0.301814605998
20.531,0.0226617958414,0.37197561568,0.327603481843,0.307379949329
20.532,0.0218830019203,0.365881031858,0.327134764956,0.314112931515
20.533,0.0203797016411,0.369631209581,0.325676807937,0.311955178921
20.534,0.0194676619846,0.376443319866,0.324258364347,0.304761587664
20.535,0.0194789527111,0.375431875446,0.323725974522,0.303185332616
20.536,0.0193954494347,0.367851269864,0.323562623619,0.308537055175
20.537,0.0184741505434,0.363970646841,0.322794175712,0.311953886666
20.538,0.0172913218836,0.367278083842,0.321454588291,0.308352403078
20.539,0.0167623443364,0.370256685949,0.320414645359,0.303346030952
20.54,0.0167810833696,0.366534578165,0.320030544048,0.303921975677
20.541,0.0164908378304,0.359994541702,0.319698306804,0.308192672369
20.542,0.015608902278,0.35802021826,0.318838997696,0.309143087273
20.543,0.0147697737836,0.360453593279,0.317733117769,0.305357482751
20.544,0.0145026198348,0.360714420906,0.31700961225,0.302423293162
20.545,0.0144781382967,0.356073147953,0.316700229655,0.304047951295
20.546,0.0140839457558,0.351168524113,0.316266720861,0.306919128155
20.547,0.0133424584505,0.350462915329,0.315445979701,0.306308991633
20.548,0.0128043726788,0.351825293458,0.314596082003,0.303074955998
20.549,0.0126900986757,0.350391894222,0.314102507273,0.301770286037
20.55,0.0126088941292,0.345928829965,0.313820274168,0.303628451178
20.551,0.0121949509898,0.342636770455,0.313346682798,0.305168782652
20.552,0.0116328649044,0.342563120635,0.31263370391,0.303783806328
20.553,0.0113252505494,0.342899441677,0.312012799453,0.301408761862
20.554,0.0112837365105,0.340620185884,0.311669354705,0.301187990685
20.555,0.0111574498615,0.336889439931,0.311393007433,0.302783661231
20.556,0.0107826967456,0.334885293467,0.310928565595,0.303276134335
20.557,0.010396866944,0.334966184948,0.310349547382,0.301693780734
20.558,0.010246577982,0.334487944203,0.309910470484,0.300188532585
20.559,0.010228797819,0.331987684822,0.309656637278,0.3005514097
20.56,0.0100807001885,0.329161596888,0.309383659271,0.301663482325
20.561,0.00977825508207,0.328035085125,0.308962404626,0.30146142606
20.562,0.00954178758746,0.327992398875,0.308515667632,0.300036371466
20.563,0.00948711908804,0.326982527774,0.308208833513,0.299245300521
20.564,0.00946959294517,0.324659124646,0.308005186579,0.299812177357
20.565,0.00932387799857,0.32267773545,0.307742912833,0.300415275876
20.566,0.00910506082118,0.322059080656,0.307383637687,0.29984522424
20.567,0.008981798795,0.321786420064,0.307052013407,0.298742429837
20.568,0.00897780892844,0.320520688593,0.306834777009,0.29844823703
20.569,0.00895424336984,0.318576937715,0.306659447583,0.298978630855
20.57,0.00882961264409,0.317268492483,0.306417913571,0.299160104817
20.571,0.00869027037203,0.316884149855,0.306126567207,0.298471717892
20.572,0.00864458267701,0.316391811197,0.305886651265,0.297720983433
20.573,0.00866275700862,0.315090668665,0.30572686201,0.29771459222
20.574,0.00863606749129,0.313584913623,0.305570182837,0.298090162719
20.575,0.00854329075693,0.31275019606,0.305357667907,0.297981796062
20.576,0.00847038032984,0.312431361091,0.305130996668,0.297334755184
20.577,0.00847254896616,0.311790086105,0.304959281396,0.296886852296
20.578,0.00849752968638,0.310600181028,0.304835246988,0.297004069498
20.579,0.00847380814368,0.309499966835,0.304694624412,0.297195254994
20.58,0.00841609874661,0.308961939513,0.304515679091,0.296926990769
20.581,0.00839319120089,0.308627078042,0.304345011861,0.296401280085
20.582,0.00842136322915,0.307924138409,0.304221303725,0.296173930563
20.583,0.00844677265352,0.306921562117,0.304119909262,0.29630651618
20.584,0.00843157921803,0.306149681338,0.303995876142,0.296336899275
20.585,0.00840647713476,0.305775325519,0.303851133339,0.296012022125
20.586,0.00841759561715,0.305402970146,0.303725586702,0.295629103443
20.587,0.00845748249132,0.304714715093,0.303634350724,0.295538291352
20.588,0.00848209546875,0.303920313825,0.303548570057,0.295628876852
20.589,0.00847876027035,0.303388225169,0.30344225133,0.295545473071
20.59,0.00848045574781,0.303091482128,0.303329245899,0.295232488233
20.591,0.00851223412435,0.302693696741,0.30323801471,0.294978216217
20.592,0.00855563876532,0.302072985006,0.303168349079,0.294955321717
20.593,0.00858049382148,0.301471557043,0.303094906036,0.294984619221
20.594,0.00858982642231,0.301099636575,0.303006721879,0.294837330835
20.595,0.00861123657496,0.3008338393,0.302921081417,0.294572508
20.596,0.00865372021376,0.300435591641,0.302854787082,0.294416425082
20.597,0.00869670504295,0.29990996,0.302799655511,0.294414316158
20.598,0.00872327319918,0.299467879565,0.302737202123,0.294386753118
20.599,0.00874406015837,0.299194693854,0.302666463513,0.294216865358
20.6,0.00877833210326,0.298940991484,0.302603046787,0.294012004353
20.601,0.00882486602585,0.29856691085,0.302554302453,0.293920846747
20.602,0.00886606963971,0.298142929056,0.302509500814,0.293912853071
20.603,0.00889532836306,0.297821461256,0.302457404906,0.293844246521
20.604,0.0089251255946,0.297605366378,0.302402440246,0.293680058501
20.605,0.00896650743057,0.297361358101,0.302356204619,0.29353148977
20.606,0.00901313581361,0.29702909713,0.302319633703,0.293476910302
20.607,0.00905248090866,0.296699152964,0.302282797688,0.293452218258
20.608,0.0090846300542,0.296462812205,0.302240470175,0.293361004723
20.609,0.00912052906277,0.296279149387,0.302198987427,0.293218127815
20.61,0.00916470775236,0.296049894581,0.302165522926,0.293114567132
20.611,0.00920941209889,0.295768307013,0.302137465709,0.293076245518
20.612,0.00924725750038,0.295517298915,0.302107276666,0.293034320809
20.613,0.00928181057215,0.295337883104,0.30207389754,0.29293642764
20.614,0.00932101653703,0.295174379148,0.302043381105,0.292820494469
20.615,0.00936508623713,0.294966437062,0.302019145915,0.292748717626
20.616,0.00940707169013,0.294736635009,0.301997242736,0.292714410069
20.617,0.00944375013991,0.294547241611,0.301972878512,0.292660025322
20.618,0.00947978720841,0.29440474139,0.301947370867,0.292566692485
20.619,0.00951996450326,0.294256850428,0.301925402801,0.292476794018
20.62,0.00956218973284,0.294075078177,0.301907740212,0.292425023688
20.621,0.00960132379543,0.293892760046,0.301890518098,0.292388989411
20.622,0.00963696008376,0.293748868168,0.301871327711,0.292328567584
20.623,0.00967340014094,0.29363051383,0.301852453842,0.29224615923
20.624,0.00971281188265,0.293497628538,0.301836918738,0.292177974705
20.625,0.00975231661452,0.293344038595,0.301823943594,0.292137383675
20.626,0.00978874745842,0.29320198442,0.301810474961,0.292098273234
